id,vp1_start,vp1_end
M87661.2,5358,6950
KF039733.1,5354,6946
L23828.1,853,2445
L07418.1,5355,6995
FJ515294.1,5355,6995
AJ277610.1,1,1641
U04469.1,800,2434
EF547396.1,1,1635
AB187514.1,5388,7019
KJ196292.1,5388,7025
AF145709.1,1,1638
KX396056.1,5359,6990
AJ277612.1,1,1638
AB022679.1,1,1635
LN854563.1,5346,6980
AF394960.1,1,1635
AB042808.1,5346,6980
AJ277616.1,1,1635
AJ277621.1,1,1635
AJ313030.1,579,2213
AJ277614.1,1,1632
KJ402295.1,761,2392
AB039774.1,5352,6983
AF414406.1,572,2203
GQ856463.1,770,2392
AF093797.1,5343,6965
AJ277615.1,1,1626
KU311161.1,5374,6990
AJ844469.1,1,1641
AJ277609.1,1,1620
AF538679.1,1,1632
KJ196298.1,5388,7019
KF586507.1,5382,7034
HQ637267.1,806,2458
