id,rdrp_start,rdrp_end
KF039733.1,1,5370
EU085529.1,1,869
M87661.2,5,5374
L23828.1,1,869
FJ515294.1,5,5371
L07418.1,5,5371
JX846929.1,1,5025
KJ196292.1,5,5404
AY038598.1,1,784
GQ856475.1,1,784
AB042808.1,5,5362
LN854563.1,5,5362
KJ402295.1,1,777
AF093797.1,5,5359
KP027330.1,1,1388
KU311161.1,1,5390
JN603251.1,1,802
GU299761.1,1,814
GQ856462.1,1,784
AB290150.1,1,813
KJ196298.1,5,5404
KF586507.1,5,5398
JN603254.1,1,825
HQ637267.1,1,822
GQ856473.1,1,784
U04469.1,1,816
GQ856463.1,1,786
GQ856464.1,1,786
AB354289.1,1,802
AB039774.1,5,5368
MH443711.1,1,5195
GQ856470.1,1,784
GQ856471.1,1,784
GQ856472.1,1,784
EF529738.1,1,802
KM289169.1,1,807
AB187514.1,5,5404
AB081723.2,5,5371
MH130046.1,95,5404
AB447414.1,1,781
LC342057.1,1,5358
