name,begin,length,end,BLAST,BLAST score,refseq,reverse complement,polymerase type,polymerase type support,polymerase subtype,polymerase subtype support,capsid type,capsid type support,capsid subtype,capsid subtype support
MW460210.1,27,7370,7400,Caliciviridae Lagovirus unclassified,84.40354,NC_011704,FALSE,,,,,,,,
MW460209.1,27,7376,7403,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,89.2218,NC_001543,FALSE,,,,,,,,
MW460208.1,27,7370,7400,Caliciviridae Lagovirus unclassified,84.376274,NC_011704,FALSE,,,,,,,,
MW460207.1,27,7385,7412,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,87.53906,NC_001543,FALSE,,,,,,,,
MW460206.1,27,7385,7412,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,87.60702,NC_001543,FALSE,,,,,,,,
MW460205.1,27,7385,7412,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,87.5969,NC_001543,FALSE,,,,,,,,
MW460204.1,27,7370,7400,Caliciviridae Lagovirus unclassified,84.43082,NC_011704,FALSE,,,,,,,,
MW460203.1,27,7385,7412,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,87.742905,NC_001543,FALSE,,,,,,,,
MW460202.1,27,7370,7400,Caliciviridae Lagovirus unclassified,84.526245,NC_011704,FALSE,,,,,,,,
MW460201.1,27,7385,7414,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,87.461075,NC_001543,FALSE,,,,,,,,
MW460200.1,27,7370,7400,Caliciviridae Lagovirus unclassified,84.33538,NC_011704,FALSE,,,,,,,,
MW460199.1,27,7370,7400,Caliciviridae Lagovirus unclassified,84.32175,NC_011704,FALSE,,,,,,,,
MW460198.1,27,7370,7400,Caliciviridae Lagovirus unclassified,84.376274,NC_011704,FALSE,,,,,,,,
MW460197.1,27,7370,7400,Caliciviridae Lagovirus unclassified,84.280846,NC_011704,FALSE,,,,,,,,
MW460196.1,27,7376,7403,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,89.19469,NC_001543,FALSE,,,,,,,,
MW460195.1,27,7370,7400,Caliciviridae Lagovirus unclassified,84.171776,NC_011704,FALSE,,,,,,,,
MW460082.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.64542,NC_011704,FALSE,,,,,,,,
MW460081.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.659035,NC_011704,FALSE,,,,,,,,
MW460080.1,27,7356,7380,Caliciviridae Lagovirus unclassified,82.78164,NC_011704,FALSE,,,,,,,,
MW460079.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.72714,NC_011704,FALSE,,,,,,,,
MW460078.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.67266,NC_011704,FALSE,,,,,,,,
MW460077.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.68628,NC_011704,FALSE,,,,,,,,
MW460076.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.60455,NC_011704,FALSE,,,,,,,,
MW460075.1,27,7376,7403,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,89.18112,NC_001543,FALSE,,,,,,,,
MW460074.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.699905,NC_011704,FALSE,,,,,,,,
MW460073.1,27,7385,7412,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,87.67496,NC_001543,FALSE,,,,,,,,
MW460072.1,27,7370,7400,Caliciviridae Lagovirus unclassified,84.15815,NC_011704,FALSE,,,,,,,,
MW460071.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.64542,NC_011704,FALSE,,,,,,,,
MW460070.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.76802,NC_011704,FALSE,,,,,,,,
MW460069.1,27,7367,7391,Caliciviridae Lagovirus unclassified,82.455185,NC_011704,FALSE,,,,,,,,
MW460068.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.76802,NC_011704,FALSE,,,,,,,,
MW460067.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.659035,NC_011704,FALSE,,,,,,,,
MW460050.1,27,7367,7391,Caliciviridae Lagovirus unclassified,82.72714,NC_011704,FALSE,,,,,,,,
MW460049.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.56369,NC_011704,FALSE,,,,,,,,
MW460048.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.754395,NC_011704,FALSE,,,,,,,,
MW460047.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.713524,NC_011704,FALSE,,,,,,,,
MW460046.1,27,7369,7399,Caliciviridae Lagovirus unclassified,84.53988,NC_011704,FALSE,,,,,,,,
MW460045.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.713524,NC_011704,FALSE,,,,,,,,
MW460044.1,27,7356,7380,Caliciviridae Lagovirus unclassified,82.78164,NC_011704,FALSE,,,,,,,,
MW460043.1,27,7370,7400,Caliciviridae Lagovirus unclassified,84.103615,NC_011704,FALSE,,,,,,,,
MW460042.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.50919,NC_011704,FALSE,,,,,,,,
MW460040.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.67266,NC_011704,FALSE,,,,,,,,
MW460039.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.59093,NC_011704,FALSE,,,,,,,,
MW460038.1,27,7376,7400,Caliciviridae Lagovirus unclassified,82.83613,NC_011704,FALSE,,,,,,,,
MW460037.1,27,7384,7411,Caliciviridae Lagovirus Rabbit hemorrhagic disease virus,87.53906,NC_001543,FALSE,,,,,,,,
MW460036.1,27,7370,7400,Caliciviridae Lagovirus unclassified,82.49898,NC_011704,FALSE,,,,,,,,
